# Title: bmyjacks/adhosts
#
# The following are hosts in the BFW(Bmyjacks Fire Wall) database with the ATS classification ONLY.
# This file will NOT protect you against malicious domains.
# Although this file is constantly updated, there is NO GUARANTEE that advertisements will be completely removed from your device.
# Last modified: 2020-03-06 15:56:38
# Hosts: 297
#
127.0.0.1 localhost #IPv4 localhost
::1 localhost #IPv6 localhost
#
#
# SERVER START
#
127.0.0.1 ad.nl.doubleclick.net
127.0.0.1 paypalssl.doubleclick.net
127.0.0.1 ad.pl.doubleclick.net
127.0.0.1 publisherportal.doubleclick.net
127.0.0.1 reportcentral.doubleclick.net
127.0.0.1 s0.doubleclick.net
127.0.0.1 s1.doubleclick.net
127.0.0.1 ad.sg.doubleclick.net
127.0.0.1 static.doubleclick.net
127.0.0.1 ad.uk.doubleclick.net
127.0.0.1 scorecardresearch.com
127.0.0.1 b.scorecardresearch.com
127.0.0.1 sb.scorecardresearch.com
127.0.0.1 udm.scorecardresearch.com
127.0.0.1 pandoramedia.campaign.adobe.com
127.0.0.1 southwest-airlines-mkt-prod1-lb.campaign.adobe.com
127.0.0.1 sstats.adobe.com
127.0.0.1 a.baidu.com
127.0.0.1 adm.baidu.com
127.0.0.1 adscdn.baidu.com
127.0.0.1 afd.baidu.com
127.0.0.1 als.baidu.com
127.0.0.1 anquan.baidu.com
127.0.0.1 antivirus.baidu.com
127.0.0.1 b.baidu.com
127.0.0.1 baichuan.baidu.com
127.0.0.1 cm.baichuan.baidu.com
127.0.0.1 dl-vip.bav.baidu.com
127.0.0.1 dl2.bav.baidu.com
127.0.0.1 download.bav.baidu.com
127.0.0.1 bce.baidu.com
127.0.0.1 idm.bce.baidu.com
127.0.0.1 bdplus.baidu.com
127.0.0.1 click.bes.baidu.com
127.0.0.1 dlsw.br.baidu.com
127.0.0.1 j.br.baidu.com
127.0.0.1 btlaunch.baidu.com
127.0.0.1 bzclk.baidu.com
127.0.0.1 cb.baidu.com
127.0.0.1 cbjs.baidu.com
127.0.0.1 cm.baidu.com
127.0.0.1 cpro.baidu.com
127.0.0.1 s.cpro.baidu.com
127.0.0.1 cpu.baidu.com
127.0.0.1 api.cpu.baidu.com
127.0.0.1 crab.baidu.com
127.0.0.1 crs.baidu.com
127.0.0.1 datax.baidu.com
127.0.0.1 dj1.baidu.com
127.0.0.1 duclick.baidu.com
127.0.0.1 dxp.baidu.com
127.0.0.1 dzl.baidu.com
127.0.0.1 e.baidu.com
127.0.0.1 eclick.baidu.com
127.0.0.1 eiv.baidu.com
127.0.0.1 entry.baidu.com
127.0.0.1 ers.baidu.com
127.0.0.1 feed.baidu.com
127.0.0.1 fexclick.baidu.com
127.0.0.1 g.baidu.com
127.0.0.1 w.gdown.baidu.com
127.0.0.1 gimg.baidu.com
127.0.0.1 gsp1.baidu.com
127.0.0.1 hao123union.baidu.com
127.0.0.1 hdj.baidu.com
127.0.0.1 click.hm.baidu.com
127.0.0.1 log.hm.baidu.com
127.0.0.1 hmma.baidu.com
127.0.0.1 hpd.baidu.com
127.0.0.1 idm-su.baidu.com
127.0.0.1 imageplus.baidu.com
127.0.0.1 conf.international.baidu.com
127.0.0.1 kstj.baidu.com
127.0.0.1 loc.map.baidu.com
127.0.0.1 ofloc.map.baidu.com
127.0.0.1 mobads.baidu.com
127.0.0.1 mobads-logs.baidu.com
127.0.0.1 mobile-global.baidu.com
127.0.0.1 s.mobile-global.baidu.com
127.0.0.1 mobojs.baidu.com
127.0.0.1 plugin.mobopay.baidu.com
127.0.0.1 msc.baidu.com
127.0.0.1 mscbos.baidu.com
127.0.0.1 msite.baidu.com
127.0.0.1 mssp.baidu.com
127.0.0.1 mtj.baidu.com
127.0.0.1 nlog.baidu.com
127.0.0.1 nsclick.baidu.com
127.0.0.1 nsclickvideo.baidu.com
127.0.0.1 openrcv.baidu.com
127.0.0.1 dl.ops.baidu.com
127.0.0.1 paimgcdn.baidu.com
127.0.0.1 update.pan.baidu.com
127.0.0.1 ad.player.baidu.com
127.0.0.1 pos.baidu.com
127.0.0.1 cm.pos.baidu.com
127.0.0.1 wn.pos.baidu.com
127.0.0.1 pups.baidu.com
127.0.0.1 statsonline.pushct.baidu.com
127.0.0.1 qianclick.baidu.com
127.0.0.1 release.baidu.com
127.0.0.1 rj.baidu.com
127.0.0.1 rplog.baidu.com
127.0.0.1 static.safe.baidu.com
127.0.0.1 udc.safe.baidu.com
127.0.0.1 sclick.baidu.com
127.0.0.1 download.sd.baidu.com
127.0.0.1 sestat.baidu.com
127.0.0.1 shadu.baidu.com
127.0.0.1 share.baidu.com
127.0.0.1 api.share.baidu.com
127.0.0.1 bdimg.share.baidu.com
127.0.0.1 sandbox.sjws.baidu.com
127.0.0.1 sobar.baidu.com
127.0.0.1 sp0.baidu.com
127.0.0.1 sp1.baidu.com
127.0.0.1 static.tieba.baidu.com
127.0.0.1 toolbar.baidu.com
127.0.0.1 union.baidu.com
127.0.0.1 usp1.baidu.com
127.0.0.1 utility.baidu.com
127.0.0.1 stat.v.baidu.com
127.0.0.1 pc.videoclick.baidu.com
127.0.0.1 wm.baidu.com
127.0.0.1 w.x.baidu.com
127.0.0.1 baidustatic.com
127.0.0.1 ubmcmm.baidustatic.com
127.0.0.1 api.mobileapptracking.com
127.0.0.1 deeplink.mobileapptracking.com
127.0.0.1 14012.deeplink.mobileapptracking.com
127.0.0.1 6656.deeplink.mobileapptracking.com
127.0.0.1 7336.deeplink.mobileapptracking.com
127.0.0.1 883.deeplink.mobileapptracking.com
127.0.0.1 10148.engine.mobileapptracking.com
127.0.0.1 10402.engine.mobileapptracking.com
127.0.0.1 10896.engine.mobileapptracking.com
127.0.0.1 13146.engine.mobileapptracking.com
127.0.0.1 13248.engine.mobileapptracking.com
127.0.0.1 14012.engine.mobileapptracking.com
127.0.0.1 15486.engine.mobileapptracking.com
127.0.0.1 159126.engine.mobileapptracking.com
127.0.0.1 161028.engine.mobileapptracking.com
127.0.0.1 161118.engine.mobileapptracking.com
127.0.0.1 167126.engine.mobileapptracking.com
127.0.0.1 1681.engine.mobileapptracking.com
127.0.0.1 16818.engine.mobileapptracking.com
127.0.0.1 168932.engine.mobileapptracking.com
127.0.0.1 16948.engine.mobileapptracking.com
127.0.0.1 171564.engine.mobileapptracking.com
127.0.0.1 17428.engine.mobileapptracking.com
127.0.0.1 17460.engine.mobileapptracking.com
127.0.0.1 175038.engine.mobileapptracking.com
127.0.0.1 178176.engine.mobileapptracking.com
127.0.0.1 1782.engine.mobileapptracking.com
127.0.0.1 17908.engine.mobileapptracking.com
127.0.0.1 180418.engine.mobileapptracking.com
127.0.0.1 180590.engine.mobileapptracking.com
127.0.0.1 180642.engine.mobileapptracking.com
127.0.0.1 183704.engine.mobileapptracking.com
127.0.0.1 183804.engine.mobileapptracking.com
127.0.0.1 184612.engine.mobileapptracking.com
127.0.0.1 185492.engine.mobileapptracking.com
127.0.0.1 185536.engine.mobileapptracking.com
127.0.0.1 186232.engine.mobileapptracking.com
127.0.0.1 186262.engine.mobileapptracking.com
127.0.0.1 188386.engine.mobileapptracking.com
127.0.0.1 188640.engine.mobileapptracking.com
127.0.0.1 188712.engine.mobileapptracking.com
127.0.0.1 189060.engine.mobileapptracking.com
127.0.0.1 189096.engine.mobileapptracking.com
127.0.0.1 189138.engine.mobileapptracking.com
127.0.0.1 189288.engine.mobileapptracking.com
127.0.0.1 189358.engine.mobileapptracking.com
127.0.0.1 189638.engine.mobileapptracking.com
127.0.0.1 189772.engine.mobileapptracking.com
127.0.0.1 189850.engine.mobileapptracking.com
127.0.0.1 189900.engine.mobileapptracking.com
127.0.0.1 189983.engine.mobileapptracking.com
127.0.0.1 190107.engine.mobileapptracking.com
127.0.0.1 190115.engine.mobileapptracking.com
127.0.0.1 190163.engine.mobileapptracking.com
127.0.0.1 19034.engine.mobileapptracking.com
127.0.0.1 190771.engine.mobileapptracking.com
127.0.0.1 190829.engine.mobileapptracking.com
127.0.0.1 191307.engine.mobileapptracking.com
127.0.0.1 191311.engine.mobileapptracking.com
127.0.0.1 191661.engine.mobileapptracking.com
127.0.0.1 192211.engine.mobileapptracking.com
127.0.0.1 194192.engine.mobileapptracking.com
127.0.0.1 194792.engine.mobileapptracking.com
127.0.0.1 195043.engine.mobileapptracking.com
127.0.0.1 195758.engine.mobileapptracking.com
127.0.0.1 196279.engine.mobileapptracking.com
127.0.0.1 196382.engine.mobileapptracking.com
127.0.0.1 197423.engine.mobileapptracking.com
127.0.0.1 197876.engine.mobileapptracking.com
127.0.0.1 198135.engine.mobileapptracking.com
127.0.0.1 198166.engine.mobileapptracking.com
127.0.0.1 198935.engine.mobileapptracking.com
127.0.0.1 198973.engine.mobileapptracking.com
127.0.0.1 199002.engine.mobileapptracking.com
127.0.0.1 199071.engine.mobileapptracking.com
127.0.0.1 199155.engine.mobileapptracking.com
127.0.0.1 199173.engine.mobileapptracking.com
127.0.0.1 199211.engine.mobileapptracking.com
127.0.0.1 20936.engine.mobileapptracking.com
127.0.0.1 20954.engine.mobileapptracking.com
127.0.0.1 21104.engine.mobileapptracking.com
127.0.0.1 22006.engine.mobileapptracking.com
127.0.0.1 22012.engine.mobileapptracking.com
127.0.0.1 22348.engine.mobileapptracking.com
127.0.0.1 23190.engine.mobileapptracking.com
127.0.0.1 2376.engine.mobileapptracking.com
127.0.0.1 3056.engine.mobileapptracking.com
127.0.0.1 3066.engine.mobileapptracking.com
127.0.0.1 3188.engine.mobileapptracking.com
127.0.0.1 3612.engine.mobileapptracking.com
127.0.0.1 3672.engine.mobileapptracking.com
127.0.0.1 4984.engine.mobileapptracking.com
127.0.0.1 5788.engine.mobileapptracking.com
127.0.0.1 7150.engine.mobileapptracking.com
127.0.0.1 7336.engine.mobileapptracking.com
127.0.0.1 8008.engine.mobileapptracking.com
127.0.0.1 8162.engine.mobileapptracking.com
127.0.0.1 8430.engine.mobileapptracking.com
127.0.0.1 8696.engine.mobileapptracking.com
127.0.0.1 8816.engine.mobileapptracking.com
127.0.0.1 9470.engine.mobileapptracking.com
127.0.0.1 9850.engine.mobileapptracking.com
127.0.0.1 9864.engine.mobileapptracking.com
127.0.0.1 media.mobileapptracking.com
127.0.0.1 fc.yahoo.com
#
# SERVER END
#
# Hosts: 297
